subset,model,n,accuracy,macro_precision,macro_recall,macro_f1,roc_auc,average_precision
all_clean,feature_concat_seed43,15044,0.8997607019409731,0.8970787543397255,0.8976104055619818,0.897340244014553,0.9622927269624038,0.9472657399039597
all_clean,feature_concat_seed44,15044,0.8981653815474607,0.8950098586350601,0.8968875012468474,0.8958901010661691,0.9616532597630436,0.9471012335834651
all_clean,healnet2024_seed42,15044,0.8959718160063813,0.8932520522928897,0.8936319684731051,0.8934397795280188,0.9595052227033798,0.9425782778426396
all_clean,healnet2024_seed43,15044,0.8984977399627758,0.8955539282317708,0.8967720948465097,0.8961392843806594,0.9597531612596102,0.9439879634365697
all_clean,healnet2024_seed44,15044,0.8997607019409731,0.8969994120386351,0.8977588770778835,0.8973701915473363,0.9609491023088289,0.9448333796191128
non_augmented,indobert,13307,0.8907342000450891,0.8768975239526553,0.8853520295515013,0.8807806219970218,0.9527808522778468,0.9131091430029639
non_augmented,indobertweet,13307,0.8666115578267077,0.8509624725832232,0.8582955355566368,0.8543429360925137,0.9350662718275585,0.8829609788851221
non_augmented,mbert,13307,0.8307657623807019,0.8132024837144025,0.8132661557353666,0.8132342962158949,0.9001193906620928,0.8320823033755254
non_augmented,transcript,13307,0.8548132561809574,0.8389366960635984,0.842299064196808,0.840557449499084,0.9298032047368725,0.876855068853355
non_augmented,visual,13307,0.6625084541970392,0.6829298820937741,0.5178544974205863,0.4396492339915435,0.5176795139465955,0.37191097601166867
non_augmented,text_mean,13307,0.8883294506650635,0.8740527130787652,0.883511468180283,0.8783405136347797,0.9542325282423103,0.9137146002888323
non_augmented,text_lr,13307,0.8917111294807244,0.8779437060226161,0.8864556957102085,0.8818521424592507,0.9580068458591184,0.9219048176523921
non_augmented,text_speech_lr,13307,0.8911850905538439,0.8772369250686798,0.8863073144114331,0.8813735268144518,0.957919647070163,0.9215857252495148
non_augmented,text_visual_lr,13307,0.8917862778988502,0.878016429993332,0.8865640615532948,0.8819397243259095,0.9580247219225011,0.9219588143226813
non_augmented,speech_visual_lr,13307,0.8543623656722026,0.8383584144975197,0.8421065038404116,0.8401568100391746,0.9298411383915961,0.877302595788195
non_augmented,full_lr,13307,0.8909596452994665,0.876954260606434,0.8861856100831169,0.881155736188105,0.9579272761850796,0.9215937554759388
non_augmented,text_mlp_seed42,13307,0.8916359810625987,0.8776433878293407,0.8870592060704219,0.8819206413320899,0.958222293560264,0.9222216415456481
non_augmented,full_mlp_seed42,13307,0.893740136770121,0.8809781898017193,0.8864323720598675,0.8835693409771908,0.9581094898660174,0.9216907390177572
non_augmented,text_mlp_seed43,13307,0.8920117231532276,0.8774483989737736,0.8896349672952808,0.8827928679054058,0.9583801613891891,0.922378562814242
non_augmented,full_mlp_seed43,13307,0.8916359810625987,0.8774312570726022,0.8877710822737216,0.8820751839014873,0.9582006777346675,0.9214366940755853
non_augmented,text_mlp_seed44,13307,0.8923874652438566,0.8786992031560602,0.8871258984965706,0.8825733604376325,0.9581156480077963,0.9215155814860658
non_augmented,full_mlp_seed44,13307,0.8942661756970016,0.8813759070732881,0.8874451744626497,0.8842413076550016,0.957604422513149,0.9212689448577962
non_augmented,tfidf_lr,13307,0.8158112271736679,0.7966586102342841,0.7969895761857129,0.7968234003337431,0.8873220490246924,0.8160686418894056
non_augmented,feature_concat_seed42,13307,0.892612910498234,0.8789511612529175,0.8873492994253581,0.8828138091194109,0.9553330779325058,0.9196392334868752
non_augmented,feature_concat_seed43,13307,0.8959194408957691,0.8832548269768137,0.8890664985070121,0.8860071185852925,0.9576798659828786,0.9213351192747198
non_augmented,feature_concat_seed44,13307,0.8923874652438566,0.8788204130770283,0.8867699603949208,0.8824952212793811,0.9560624437570928,0.9200898978599578
non_augmented,healnet2024_seed42,13307,0.8910347937175922,0.8781160769983096,0.8832430779120619,0.8805584963296367,0.9545934776253269,0.9152805538006339
non_augmented,healnet2024_seed43,13307,0.8944164725332532,0.8812071343879629,0.8884754789525933,0.8845950304718041,0.9547826721957305,0.918358502388807
non_augmented,healnet2024_seed44,13307,0.89411587886075,0.8813974910282545,0.8868216563745916,0.8839753996619293,0.9551290240402386,0.9161111112014588
speech_real,indobert,450,0.84,0.8391464830789648,0.8310728744939271,0.8342236139252164,0.9159716599190284,0.9399432825251773
speech_real,indobertweet,450,0.8488888888888889,0.8478189028420356,0.8408906882591094,0.8436989212160837,0.9212854251012146,0.9435463426397606
speech_real,mbert,450,0.8488888888888889,0.8478189028420356,0.8408906882591094,0.8436989212160837,0.9307388663967612,0.9532645815748602
