experiment,model,n,accuracy,macro_precision,macro_recall,macro_f1,roc_auc,average_precision
fold_1,full_mlp_seed44,2925,0.8943589743589744,0.8901561727086424,0.8979522994465337,0.8926599258141226,0.9635018783642615,0.9462126304830265
fold_1,tfidf_lr,2925,0.8157264957264957,0.8110951217742521,0.8090447395709699,0.809995370928879,0.8968031287811151,0.8661958296214687
fold_1,feature_concat_seed42,2925,0.9032478632478632,0.899670933300748,0.9023500456016291,0.9009023569023569,0.9635146122227742,0.9483530973545466
fold_1,feature_concat_seed43,2925,0.9056410256410257,0.9015667862568402,0.9067165577641458,0.9036834374167834,0.9650172075272961,0.9513548471531038
fold_1,feature_concat_seed44,2925,0.9042735042735043,0.9000869381574225,0.9060044227333491,0.9024024024024024,0.9644271253290381,0.9511386393356104
fold_1,healnet2024_seed42,2925,0.8947008547008547,0.8903846153846153,0.8962812808435676,0.8926633128469469,0.9629997318681867,0.9488575128100167
fold_1,healnet2024_seed43,2925,0.8981196581196581,0.8944139972912533,0.8971370922402269,0.8956610610647037,0.9595000831304724,0.9470299920522769
fold_1,healnet2024_seed44,2925,0.8957264957264958,0.8915329574507069,0.896353119026499,0.8935313230042158,0.9619618022686449,0.9460779854618397
fold_2,indobert,3130,0.8929712460063898,0.88667601013589,0.891044107947769,0.8886733006500384,0.9632304193450275,0.9432983634124045
fold_2,indobertweet,3130,0.873482428115016,0.8686901751073317,0.865665036582907,0.8670984775962697,0.9477783701212824,0.9202388265331406
fold_2,mbert,3130,0.8485623003194889,0.8426144876105524,0.8391710494390394,0.8407797522997336,0.9284266786957963,0.9004176290305221
fold_2,transcript,3130,0.8632587859424921,0.8567060384010803,0.8574983852943889,0.8570959208055982,0.9429803877343885,0.9139666221659213
fold_2,visual,3130,0.6166134185303515,0.6817364290385873,0.5170928122533088,0.42012123727230954,0.5195464813087145,0.42115652298587114
fold_2,text_mean,3130,0.8961661341853036,0.8922788468770482,0.8898894652846837,0.8910384143548011,0.9655102298862359,0.9463582655265729
fold_2,text_lr,3130,0.8990415335463259,0.8936332923206602,0.8957788690567727,0.8946650513064311,0.9670877716379095,0.9486678536220331
fold_2,text_speech_lr,3130,0.8971246006389776,0.8909480574324324,0.8954597724717469,0.8930074021985787,0.966885292680343,0.9480260562145764
fold_2,text_visual_lr,3130,0.8990415335463259,0.8936332923206602,0.8957788690567727,0.8946650513064311,0.9670766651971991,0.9486555244042277
fold_2,speech_visual_lr,3130,0.8635782747603834,0.8569582398712832,0.8580434552307918,0.8574889604086715,0.9429823100029731,0.9139825649431064
fold_2,full_lr,3130,0.8971246006389776,0.8909480574324324,0.8954597724717469,0.8930074021985787,0.9668857198511395,0.9480151914930952
fold_2,text_mlp_seed42,3130,0.8987220447284345,0.8925267364954481,0.8973418870013636,0.8947098549287908,0.9672889690830865,0.9490219754309844
fold_2,full_mlp_seed42,3130,0.9067092651757188,0.9037409293575263,0.9004281960064657,0.9020019077225019,0.9680437798805972,0.9505419134048747
fold_2,text_mlp_seed43,3130,0.8955271565495208,0.8884401694171316,0.8980749120882501,0.8921609749606236,0.9675670572716429,0.9496011587250072
fold_2,full_mlp_seed43,3130,0.8955271565495208,0.888764494823225,0.895685745823124,0.8917187728614243,0.9676862379238815,0.949480314449523
fold_2,text_mlp_seed44,3130,0.897444089456869,0.8914063738703029,0.8954426856398847,0.8932698261551548,0.9673385208954868,0.9491006918612483
fold_2,full_mlp_seed44,3130,0.9044728434504792,0.9038613230802406,0.8952073145309836,0.8990254058668994,0.9679715880159797,0.9502198538204899
fold_2,tfidf_lr,3130,0.821405750798722,0.8130960170281128,0.8133588268864717,0.8132265855383425,0.9058887202988144,0.8587970417772149
fold_2,feature_concat_seed42,3130,0.8987220447284345,0.8928965379112292,0.8963581126568998,0.89451616075439,0.9645717356462069,0.947164053540544
fold_2,feature_concat_seed43,3130,0.8990415335463259,0.8954519800259484,0.8926870068313154,0.8940094575780644,0.9636118828663502,0.9464820137193125
fold_2,feature_concat_seed44,3130,0.8926517571884984,0.8862754185492094,0.8909206555875648,0.8883846035959584,0.9640428982000732,0.9460851957774296
fold_2,healnet2024_seed42,3130,0.8996805111821087,0.9018127155989974,0.8873123438690739,0.8932538408502331,0.9647584092843009,0.9469183233035777
fold_2,healnet2024_seed43,3130,0.8939297124600639,0.8892661531878476,0.8886036811870563,0.8889312146510412,0.9625290048970859,0.9460569944831041
fold_2,healnet2024_seed44,3130,0.9057507987220448,0.9031101609208501,0.8989335253893234,0.9008924988174398,0.9671104116901269,0.9472862738271424
fold_3,indobert,3361,0.9038976495090747,0.8992549383052573,0.9029197219508044,0.9009269094309638,0.9638295437540163,0.9494097916274381
fold_3,indobertweet,3361,0.8803927402558762,0.8761085949947625,0.8761085949947625,0.8761085949947625,0.9487687901808376,0.9300871916490271
fold_3,mbert,3361,0.8551026480214222,0.8493598808619576,0.8515746266904928,0.8503983829786845,0.9303536427202813,0.9044762529662794
fold_3,transcript,3361,0.8741445998214817,0.8702755544153067,0.8684331563982712,0.8693168171170066,0.9447430040228519,0.9253665236382608
fold_3,visual,3361,0.5992264207081226,0.7178533372081759,0.5082485336103262,0.39205830846944295,0.5087576253730162,0.41877745091017426
fold_3,text_mean,3361,0.9062778934840822,0.9026831456559553,0.9033220804981177,0.9029983058157038,0.9663319058224251,0.9518607433515641
fold_3,text_lr,3361,0.9059803629872062,0.9009692333636592,0.906395153505104,0.9033055834753602,0.9678558800832152,0.9543299335959139
fold_3,text_speech_lr,3361,0.9047902409997025,0.9001496372803951,0.9039015941761076,0.901857509426249,0.9674670924258295,0.9540832887743139
fold_3,text_visual_lr,3361,0.9059803629872062,0.9009692333636592,0.906395153505104,0.9033055834753602,0.9678555133024063,0.9543106993203457
fold_3,speech_visual_lr,3361,0.8726569473371021,0.8683213540288679,0.8676372420430571,0.8679738816435798,0.9447428206324475,0.9253657313457032
fold_3,full_lr,3361,0.9047902409997025,0.9001496372803951,0.9039015941761076,0.901857509426249,0.9674674592066385,0.9540901669039528
fold_3,text_mlp_seed42,3361,0.9059803629872062,0.9009398401041855,0.9065097725078711,0.9033252285257187,0.9679967239138153,0.9546349992020652
fold_3,full_mlp_seed42,3361,0.9047902409997025,0.9006911365884461,0.9026407851456707,0.9016236776382658,0.9672297852425009,0.9530987508552348
fold_3,text_mlp_seed43,3361,0.9062778934840822,0.9011498464053209,0.9072191265921954,0.9036990869689437,0.9680367030219805,0.954532061580111
fold_3,full_mlp_seed43,3361,0.9050877714965784,0.899935469278535,0.905986376293636,0.9024762182320414,0.9677209047455567,0.9542058197832782
fold_3,text_mlp_seed44,3361,0.9074680154715858,0.9026390097143686,0.9074203058658521,0.9047475978241426,0.9679398728884429,0.9546319716147667
fold_3,full_mlp_seed44,3361,0.9053853019934544,0.9011946762907923,0.9034863983004844,0.9022815043995348,0.9675459502997332,0.9537912445973437
fold_3,tfidf_lr,3361,0.8351681047307349,0.8296777548309873,0.8281178936218285,0.8288655014532693,0.9110107232037277,0.8778187323340438
fold_3,feature_concat_seed42,3361,0.9071704849747099,0.9021855247930206,0.9076279038036636,0.9045295634313684,0.9652102901089485,0.9490737541030817
fold_3,feature_concat_seed43,3361,0.9044927105028265,0.8998657071725817,0.9035360971000842,0.9015403651001219,0.9665778323547622,0.9527977104244815
fold_3,feature_concat_seed44,3361,0.9050877714965784,0.9002380180536911,0.904840186265966,0.902277107040191,0.9649583116932656,0.9500065218415348
fold_3,healnet2024_seed42,3361,0.9053853019934544,0.9007180379054854,0.9046325883281543,0.9024915428041762,0.9655440606450061,0.9514053980984182
fold_3,healnet2024_seed43,3361,0.9092531984528415,0.9065747357944423,0.9051431472140796,0.9058389573867098,0.9668475996396746,0.9524720014639048
fold_3,healnet2024_seed44,3361,0.9080630764653377,0.9031451972062002,0.9083805380234329,0.9054185897388611,0.9662123352787387,0.9524486943795932
fold_4,indobert,2628,0.8968797564687976,0.8970285702290237,0.8958506658294744,0.8963436279730209,0.9600211623600682,0.9548012789822499
fold_4,indobertweet,2628,0.8710045662100456,0.8707315794990043,0.8701593281532062,0.870416745756943,0.9444060731322328,0.936635095084606
fold_4,mbert,2628,0.828386605783866,0.8277117509206562,0.8278026319231877,0.8277561024736877,0.9126538122770758,0.904944323486398
fold_4,transcript,2628,0.8512176560121766,0.8542780748663101,0.8480365225126233,0.8495945830232052,0.9384076486815675,0.9307824861094034
fold_4,visual,2628,0.5403348554033486,0.6143941895014856,0.5110797164011197,0.38206639670313325,0.5164604208635288,0.48510547293086936
fold_4,text_mean,2628,0.8945966514459666,0.894034844465879,0.8952070742746514,0.8943800860767273,0.9609807358571192,0.9562075800135735
fold_4,text_lr,2628,0.898021308980213,0.8977584476413516,0.8974439473615363,0.8975927824768477,0.9639312572127893,0.959535216466859
fold_4,text_speech_lr,2628,0.9006849315068494,0.9001117820354778,0.9008005651047799,0.9003982137232787,0.9638917231335409,0.959472160424576
fold_4,text_visual_lr,2628,0.898021308980213,0.8977584476413516,0.8974439473615363,0.8975927824768477,0.9639167226248302,0.9595236956068842
fold_4,speech_visual_lr,2628,0.8512176560121766,0.8542780748663101,0.8480365225126233,0.8495945830232052,0.9384067766062899,0.9307822548358925
fold_4,full_lr,2628,0.9006849315068494,0.9001117820354778,0.9008005651047799,0.9003982137232787,0.9638928859005776,0.959476832101212
fold_4,text_mlp_seed42,2628,0.898021308980213,0.8978327038028531,0.8973497632315621,0.8975722894404801,0.9640225344251716,0.9596923499972541
fold_4,full_mlp_seed42,2628,0.90220700152207,0.9016162265385534,0.9025168092509745,0.9019558856938796,0.9639667216074091,0.9598225696922541
fold_4,text_mlp_seed43,2628,0.9025875190258752,0.9020017162043223,0.9028281401250555,0.9023259379362731,0.964029511027392,0.9598888035753879
fold_4,full_mlp_seed43,2628,0.9010654490106544,0.9005514465671798,0.9009706197838998,0.9007420810693498,0.9641312531431045,0.9600642673537607
fold_4,text_mlp_seed44,2628,0.9006849315068494,0.9002921760078503,0.9003296444549094,0.9003107785042954,0.963924280610569,0.959644403251672
fold_4,full_mlp_seed44,2628,0.90220700152207,0.9016156872935149,0.9025639013159616,0.9019633999363934,0.9640923004473746,0.9598880178703325
fold_4,tfidf_lr,2628,0.806316590563166,0.8103112840466926,0.8021165266985846,0.8036013726814197,0.8897281159976396,0.8825235578345643
fold_4,feature_concat_seed42,2628,0.8907914764079148,0.8909510433386838,0.8896920702195013,0.890211550294087,0.9603679576287693,0.9566976618152633
fold_4,feature_concat_seed43,2628,0.899923896499239,0.899398480346951,0.8998482589017085,0.8996011581911754,0.9628475583345687,0.953811701692069
fold_4,feature_concat_seed44,2628,0.8995433789954338,0.899160191507731,0.899160191507731,0.899160191507731,0.9630120898702643,0.9589816015139021
fold_4,healnet2024_seed42,2628,0.8968797564687976,0.8966313572575433,0.8981110849488527,0.8967504550406764,0.9620254820396096,0.9533531924572105
fold_4,healnet2024_seed43,2628,0.8923135464231354,0.8917229059150457,0.8923972477304241,0.8920026608570417,0.9620371097099768,0.9428088336099569
fold_4,healnet2024_seed44,2628,0.8942161339421614,0.8936376575077613,0.8947544672056091,0.8939876659653196,0.9630498797989575,0.9580018734353078
fold_5,indobert,3000,0.8936666666666667,0.8911807398084227,0.8923831396234077,0.8917518654139744,0.9596773243378456,0.9435826209804486
fold_5,indobertweet,3000,0.8656666666666667,0.8623520288854155,0.8659078385452541,0.8637589130012199,0.9416511535589214,0.9207112552404436
fold_5,mbert,3000,0.845,0.8418179251800241,0.8423853147816504,0.8420936636998009,0.9197996497995229,0.8998114420254124
fold_5,transcript,3000,0.852,0.8485557098734933,0.8516433320524068,0.8498132136409291,0.9319175470015444,0.909783096439132
fold_5,visual,3000,0.5753333333333334,0.5934075342465754,0.509887906845223,0.39807383627608345,0.5078885738937509,0.44476225604374753
fold_5,text_mean,3000,0.893,0.8899445234523851,0.895002392674067,0.8916974695333061,0.9589987202819005,0.9417464452697901
fold_5,text_lr,3000,0.8963333333333333,0.894560651792106,0.8938767482834375,0.8942101906314223,0.9604515447248788,0.9432556245034016
fold_5,text_speech_lr,3000,0.8953333333333333,0.8930294789749936,0.8937525830004133,0.8933805869364735,0.9603697497117913,0.943619974991363
fold_5,text_visual_lr,3000,0.8966666666666666,0.8948707056183691,0.8942637451874624,0.8945605009577988,0.9604882505202254,0.9432998902550496
fold_5,speech_visual_lr,3000,0.8523333333333334,0.8488986681202202,0.8518418152420588,0.8501146132613042,0.9319184533174788,0.909784240593657
fold_5,full_lr,3000,0.8946666666666667,0.8922181013728935,0.8933556166211092,0.8927601809954752,0.9604050960332364,0.9436386168355326
fold_5,text_mlp_seed42,3000,0.8973333333333333,0.8951131221719457,0.8956975369958164,0.8953986263258564,0.9605353789488185,0.9430936934906774
fold_5,full_mlp_seed42,3000,0.896,0.8942508340613019,0.8934897513794129,0.8938597887809796,0.961194044054205,0.9440322122681133
fold_5,text_mlp_seed43,3000,0.8966666666666666,0.8948110066037445,0.8943580020446488,0.8945807237339372,0.9606889994997135,0.9436030396875327
fold_5,full_mlp_seed43,3000,0.8973333333333333,0.8954915243779613,0.895037738995512,0.895260848096944,0.9608142976776559,0.9439006562494594
fold_5,text_mlp_seed44,3000,0.897,0.8951809962450794,0.8946507420914871,0.8949107200248133,0.9603803989240217,0.9431009506430674
fold_5,full_mlp_seed44,3000,0.8966666666666666,0.8954018257188859,0.8935096903299715,0.8943949854651163,0.9612035603715171,0.9443658812679359
fold_5,tfidf_lr,3000,0.824,0.8212214398410564,0.8188528215427673,0.8199119205575089,0.9001316877052805,0.8735814540910086
fold_5,feature_concat_seed42,3000,0.891,0.8881948746831878,0.8904182466774457,0.8891939975902801,0.959622039065842,0.9440304031201525
fold_5,feature_concat_seed43,3000,0.8893333333333333,0.8895706649215814,0.8841474467267494,0.8864258347016968,0.958863905786646,0.9422173280244966
fold_5,feature_concat_seed44,3000,0.889,0.8889832107149593,0.8840432203942836,0.8861457368758459,0.9599972538627184,0.9449250182263255
fold_5,healnet2024_seed42,3000,0.882,0.8818001851090087,0.8768588539816271,0.8789526187267366,0.9569363983729816,0.9324576603146718
fold_5,healnet2024_seed43,3000,0.897,0.8941424570638055,0.8970071635211462,0.8953827451048548,0.9579507924826531,0.9408586323395329
fold_5,healnet2024_seed44,3000,0.893,0.8943926968728395,0.8869905598132264,0.8899554210896379,0.9612361877451585,0.9468989204305769
